net,length_um
_0195_,215.525
_0204_,210.62
clknet_2_2__leaf_clock,198.795
net13,198.28
_0229_,193.37
_0196_,190.22
clknet_2_0__leaf_clock,186.62
_0547_,179.06
_0239_,178.305
_0251_,174.82
clknet_2_3__leaf_clock,173.67
_0106_,172.66
net10,157.58
_0527_,156.38
net12,155.37
net11,153.7
clknet_2_1__leaf_clock,149.69
_0261_,149.09
_0446_,144.935
_0550_,140.62
_0549_,139.29
clknet_0_clock,138.34
_0555_,136.95
_0528_,131.52
_0331_,127.32
_0199_,124.8
_0548_,117.85
_0529_,116
_0530_,115.1
_0526_,114.26
clock,107.51
manchester_baby_instance.ram_data_i_0,105.055
_0194_,103.92
_0101_,103.84
_0104_,102.1
_0372_,99.2
manchester_baby_instance.ram_data_i_4,97.16
_0173_,94.28
manchester_baby_instance.ram_data_i_3,87.415
manchester_baby_instance.CIRCUIT_0.Acc.tick,85.19
net1,84.68
_0118_,82.82
_0531_,79.46
ram_data_io[15],78.68
_0198_,78.1
_0533_,76.94
_0332_,75.67
_0532_,75.58
ram_data_io[14],71.32
manchester_baby_instance.ram_data_o_31,71.2
_0534_,70.68
ram_data_io[30],67.15
ram_data_io[31],65.3
manchester_baby_instance.ram_data_i_13,64.56
_0103_,64.235
ram_data_io[0],63.79
_0337_,63.4
ram_data_io[20],61.81
_0545_,61.46
manchester_baby_instance.ram_data_i_1,60.14
_0319_,59.52
ram_data_io[21],58.01
ram_data_io[13],57.68
_0140_,57.23
ram_data_io[19],56.33
manchester_baby_instance.CIRCUIT_0.ARITH_38.dataB\[2\],56
ram_data_io[29],55.42
manchester_baby_instance.ram_data_i_14,54.48
ram_data_io[1],54.35
_0536_,54.28
_0538_,53.4
manchester_baby_instance.CIRCUIT_0.ARITH_38.dataB\[4\],52.76
_0535_,52.62
ram_data_io[28],52.37
_0343_,51.57
net9,50.76
_0537_,50.735
_0187_,49.94
_0316_,49.54
manchester_baby_instance.CIRCUIT_0.ARITH_38.dataB\[3\],49.52
net3,48.32
_0315_,46.9
ram_data_io[22],46.55
_0546_,46.34
ram_data_io[12],45.5
manchester_baby_instance.ram_data_i_15,45.36
_0426_,44.58
_0317_,42.96
ram_data_io[16],42.32
_0174_,42.04
_0382_,41.3
_0409_,41.2
manchester_baby_instance.ram_data_o_11,40.84
_0439_,40.76
ram_data_io[7],40.69
ram_data_io[10],40.16
ram_data_io[18],39.78
ram_data_io[2],39.75
_0420_,39.62
ram_data_io[27],39.49
_0313_,39.44
_0186_,38.5
_0438_,38.44
manchester_baby_instance.ram_data_i_17,38.36
manchester_baby_instance.ram_data_i_5,37.975
net4,37.7
_0334_,37.365
ram_data_io[17],37.22
manchester_baby_instance.ram_data_o_26,37.14
_0441_,37.07
